,prop,subevent,role,causation,hp,metric,corr,pval,exp_count,method,td,syntax
0,0.0,0.0,0.0,1.0,lr,AMR,-0.13854301508381262,0.3476835181736264,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
1,0.0,0.0,0.0,1.0,lr,MRR,-0.41428396743509016,0.003418412667146693,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
2,0.0,0.0,0.0,1.0,lr,H@1,-0.5325280895580843,9.775016910800027e-05,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
3,0.0,0.0,0.0,1.0,lr,H@3,-0.544512686184929,6.309193692435876e-05,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
4,0.0,0.0,0.0,1.0,lr,H@5,-0.3817441849136731,0.007421525635267038,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
5,0.0,0.0,0.0,1.0,lr,H@10,-0.2657827335319812,0.06787251888265687,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
6,0.0,0.0,0.0,1.0,embedding_dim,AMR,0.08472388808554374,0.5669544277123681,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
7,0.0,0.0,0.0,1.0,embedding_dim,MRR,-0.08288206443151018,0.5754436469964335,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
8,0.0,0.0,0.0,1.0,embedding_dim,H@1,0.016741701686255397,0.910077894495094,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
9,0.0,0.0,0.0,1.0,embedding_dim,H@3,-0.10967485737785801,0.4580490720653215,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
10,0.0,0.0,0.0,1.0,embedding_dim,H@5,-0.10602001166873389,0.4732560299315217,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
11,0.0,0.0,0.0,1.0,embedding_dim,H@10,-0.09397892564675178,0.5251997078145869,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
12,0.0,0.0,0.0,1.0,batch_size,AMR,0.5824186944785521,1.4067877366697031e-05,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
13,0.0,0.0,0.0,1.0,batch_size,MRR,-0.4089036561696993,0.003906491183132323,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
14,0.0,0.0,0.0,1.0,batch_size,H@1,-0.34641495621763135,0.015866383413525743,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
15,0.0,0.0,0.0,1.0,batch_size,H@3,-0.37826468434601995,0.008027513327837972,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
16,0.0,0.0,0.0,1.0,batch_size,H@5,-0.35750645888740823,0.012608466436812875,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
