,lr,embedding_dim,batch_size,prop,subevent,role,causation,exp,epoch,best_epoch,AMR,MRR,H@1,H@3,H@5,H@10,exp_count,method,td,syntax
0,0.0005,224.0,256.0,0.0,0.0,0.0,1.0,lr_0.0005_ed_224_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,891,0.1390988046252974,0.1186545082310259,0.0273972602739726,0.1472602739726027,0.1952054794520548,0.2876712328767123,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
1,0.002,160.0,960.0,1.0,0.0,0.0,1.0,lr_0.002_ed_160_bs_960_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,952,0.044948961904395,0.2746643173042841,0.1815068493150685,0.3219178082191781,0.3595890410958904,0.4486301369863014,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
2,0.002,224.0,960.0,1.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_960_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,929,0.0650633355815693,0.0621055580431368,0.0218340611353711,0.0491266375545851,0.0807860262008733,0.1550218340611353,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
3,0.0005,192.0,896.0,1.0,0.0,0.0,1.0,lr_0.0005_ed_192_bs_896_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,995,0.0648649897923808,0.2500326975307849,0.1575342465753424,0.2842465753424658,0.3321917808219178,0.4315068493150685,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
4,0.002,192.0,192.0,1.0,0.0,0.0,1.0,lr_0.002_ed_192_bs_192_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,829,0.2585123839605562,0.0947651356022053,0.0445205479452054,0.0856164383561643,0.1335616438356164,0.2226027397260274,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
5,0.002,192.0,960.0,1.0,0.0,0.0,1.0,lr_0.002_ed_192_bs_960_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,993,0.0721158661068525,0.2601236380041702,0.1780821917808219,0.2842465753424658,0.3424657534246575,0.4280821917808219,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
6,0.002,224.0,896.0,0.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_896_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,982,0.1437035315393009,0.0354508606323966,0.0,0.0010917030567685,0.0414847161572052,0.1222707423580786,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
7,0.002,224.0,960.0,0.0,0.0,0.0,1.0,lr_0.002_ed_224_bs_960_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,886,0.1711851782214733,0.0624507260647689,0.0034246575342465,0.0376712328767123,0.1061643835616438,0.1952054794520548,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
8,0.002,192.0,960.0,1.0,1.0,0.0,1.0,lr_0.002_ed_192_bs_960_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,977,0.042033054949633,0.2449010860451894,0.1593886462882096,0.2740174672489083,0.3253275109170305,0.4170305676855895,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
9,0.0001,192.0,960.0,0.0,1.0,0.0,1.0,lr_0.0001_ed_192_bs_960_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,985,0.1171539117479608,0.144074744968541,0.0687772925764192,0.1506550218340611,0.2096069868995633,0.3034934497816594,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
10,0.001,192.0,192.0,1.0,0.0,0.0,1.0,lr_0.001_ed_192_bs_192_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,721,0.0609699164130811,0.2375929912307611,0.1678082191780822,0.2465753424657534,0.2910958904109589,0.3595890410958904,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
11,0.0005,160.0,192.0,1.0,0.0,0.0,1.0,lr_0.0005_ed_160_bs_192_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,886,0.0382959053965563,0.2907272983325443,0.1883561643835616,0.3356164383561644,0.386986301369863,0.4589041095890411,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
12,0.001,160.0,256.0,0.0,1.0,0.0,1.0,lr_0.001_ed_160_bs_256_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,838,0.1601004919088111,0.013025286808323,0.0,0.0,0.0,0.0,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
13,0.0005,160.0,896.0,0.0,0.0,0.0,1.0,lr_0.0005_ed_160_bs_896_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,928,0.1865739100250935,0.0717866671480062,0.0136986301369863,0.071917808219178,0.0924657534246575,0.1986301369863013,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
14,0.0001,224.0,896.0,0.0,1.0,0.0,1.0,lr_0.0001_ed_224_bs_896_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,999,0.1093606408729278,0.1799153263420642,0.0960698689956331,0.1943231441048035,0.2565502183406113,0.3526200873362445,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
15,0.0005,192.0,192.0,0.0,0.0,0.0,1.0,lr_0.0005_ed_192_bs_192_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,757,0.1060795614789959,0.2209394774538396,0.1404109589041096,0.2294520547945205,0.2945205479452055,0.3835616438356164,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
